Store,Analyst,Industry,Type,Title,Link,Published,Summary,Date_Appended
Trader Joe's,Rahul Shinde,Grocery,Opening,Trader Joe's opens new location in New Orleans - WWLTV.com,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNa2RRZ3o4b0RnVTFNSlBVX3pCRjJYVDBrTHltUk9QVTlOQmFiS1BLVnhnSWFFanNZcjY4TXJtTGZTcmlBXy1zU1VWWnJlMVUxMG5heGFNOWg5b3JnYnBLbTVyM0pFZDZpQ0k4TERNVTBURnNPRFlKVDI5c2NydGZGd3YtMUpxRmNjSUM2NkJrNVF0RzVIMzhYYmdqMlJVUTVtZ0FGNzRLYXZZXy02RFBadGszRFlIZjhucG56RzFrVUtPYXM?oc=5,2026-06-12 17:07:00+00:00,Trader Joe's opens new location in New Orleans WWLTV.com,2026-06-13
Casey's General Stores,Rahul Vasaya,Convenience Stores / Distributors,Opening,"Casey’s sells 41 stores, exits Mississippi - CSP Daily News",https://news.google.com/rss/articles/CBMihAFBVV95cUxOa25Jcm5GcXlBbFl2VU9jeDVBTUlranZ2Mk1DakVta2hiUmhSYkRrZ0EwNXBaVUdhZ0hXSVhrYW10YnRWLWlDcV80YWtyME5wSmpSbjk3X3FUVy1sblBXNlU2WmxFS1pORjRpTjJoQ0t5VnFCdnBNYko5bENiWGdHUllyREE?oc=5,2026-06-12 17:02:38+00:00,"Casey’s sells 41 stores, exits Mississippi CSP Daily News",2026-06-14
Casey's General Stores,Rahul Vasaya,Convenience Stores / Distributors,Opening,"Casey’s sells 41 stores, exits Mississippi - CSP Daily News",https://news.google.com/rss/articles/CBMiigFBVV95cUxOZ1RvM3RYbHBweTAyVVVNckxSY3h5eXh2QTBka25nUnh4ZTRJM1Rka1RSZ05FbjBQeFJNMlcwUWtFdDNnOEMxZU43OFFkbm9RVHBKVkh3WU4wTjZOWEo0VzJCNlNveDJLM1RvQVNPY3Izbllwclc2b3U1SXJDMnJmWlUzeDA4REFIMlE?oc=5,2026-06-12 17:02:38+00:00,"Casey’s sells 41 stores, exits Mississippi CSP Daily News",2026-06-13
Seafood City,Bhavesh Phulwani,Grocery,Opening,Supermarket chain Seafood City hiring more than 100 for first Arizona location - ABC15 Arizona,https://news.google.com/rss/articles/CBMitAFBVV95cUxPUDBRYTJPVlZ0bndGdHJJcWVEYUFCTGE0Mkd3RG11b1pnV2lJSjAwNWtNbnhraHV4UGdJT0s4ZFNtSUUxckNCV2FYVlhiOWlRN2RVV0d3S1BHaDk1UkNUd2JXZ19Gal9MamRITzZSM3VLc2xKMFA3ZWhHc3Fkd3RMV0h2Mjh1WFVJSDBvN0ZIaEo1Z3k4emJEbTV2S25IM01HSVY2QmZLbmFOejhzZHhSVHMteDY?oc=5,2026-06-12 15:56:26+00:00,Supermarket chain Seafood City hiring more than 100 for first Arizona location ABC15 Arizona,2026-06-13
Papa John's,Vishwas Shah,Restaurants,Opening,Papa John's reveals limited-time menu shake-up inspired by iconic Hollywood film - The Sun,https://news.google.com/rss/articles/CBMikgFBVV95cUxPT1Z6NGs5VHVxdFZfVmxfSlllT3BaOU41Nk1LQVUxb1o0RWNzQXNfUlpUaFJ4MWNjeEtTeENiZkt1cG1hbUlJdk12Zk10SmpRNDJGWGlraTNBNUxDWG81VTctbDBWcDBOREtGN1FtOXZIWDZaM0tKODRxckdwU3VjM2JUTlBuWDNDWG5hOWM2X3hvdw?oc=5,2026-06-12 15:17:00+00:00,Papa John's reveals limited-time menu shake-up inspired by iconic Hollywood film The Sun,2026-06-13
Walgreens,Komal Agrawal,Drug Retailers,Closing,Retail pharmacy to close St. Louis County store - KSDK,https://news.google.com/rss/articles/CBMi0gFBVV95cUxONkJiQ0k5dXhuSEpHLWZRRm1YLTFjN3BPalVQQ09DTWg3a3A4c3kzNTMyQ2pPZ2t2Z3NGQmpST0tVSlhxOFpCcDZ5T0F5b1ZLX0dvVmEzWGpnTFY3N3VmcVhVY2lGbzZ6VXRtaWEyMzFpeDhuRGRqQkkydTZDeGd1NzhwUVVMcl9fTzBzMC1lYjR5RHpjLTFWVWJ1b0lVZXItNlRvY2ktWWhfNEk2T2YybGp6eVVnWEVqNk9ONUJFeVZrdzhoeWw5WUlXdm5XUGVpaVE?oc=5,2026-06-12 14:59:00+00:00,Retail pharmacy to close St. Louis County store KSDK,2026-06-14
FIELDS,Harsimranjeet Singh Ghelani,Department Stores,Closing,Popular bakery and cafe in Dorchester's Fields Corner closing after 10 years - NBC Boston,https://news.google.com/rss/articles/CBMivgFBVV95cUxNbE83QU1sMjBTbGw1Ql9DOXhYcENrY1dnb05fVlNSMV9wUHRZczJsY29waWxwMG1QSzl0d01rbl9NLW5acnhLRHhQVVdWMGNuamZ0djBHUWZSbVRnWkxKOXJ6X2o1elhaV0xDVzJjLVhZbXpIV2ZhdzVpdE9Qd1RfbWhVY1hvMDFMRmZfSVlEQjM3TkZDZmFFR0dXOGNJdW9fNG55N2N1VUViUXc5d2o4OTVfSjc1LUlFYVBHR2tB0gHGAUFVX3lxTE50ckZtQ0IydXc5bHkxNmZHV1hVVjBOdGlJSndTOWFoRWxXSkxFQXpHYUp1WlpQN2lvdGZ6YmpGdl91d1NydFo0bm4xNzMtNF9xa1dMbF9MVW5OSG1ta1Y2QVE0aTJHZFUzSlRWaXdDRG9pQlFEaDE4TllVQVpmaXE5QUNURDZuUzg1dTRHVEc2anNNcEJQNDFUNU83RzZKTHZVSnB5cDJuUWVkSVpyYUo4MThPeWdKNDFXWjdSdzFnQ2dyVHNjdw?oc=5,2026-06-12 14:31:41+00:00,Popular bakery and cafe in Dorchester's Fields Corner closing after 10 years NBC Boston,2026-06-13
Casey's General Stores,Rahul Vasaya,Convenience Stores / Distributors,Opening,3 Big Numbers: Casey’s wraps up its 3-year plan - C-Store Dive,https://news.google.com/rss/articles/CBMijgFBVV95cUxObEtCN3g5TUV6TmZVb3hSU0lLd1JyMUNPV2hrYllycEN2WkluUE1qLWVJU2xjSkJBSGJRUmlOTi1jSTN6Sm1OLXU5R3JBVTBMMDJsUGt2UldaMTJSRlE1Vi1uQVlzOGhtZjdPVm1WR0hWV1dDRXQ0LVpiSTVvLW5yaWJKV01fclpqSjFWb1Jn?oc=5,2026-06-12 12:26:14+00:00,3 Big Numbers: Casey’s wraps up its 3-year plan C-Store Dive,2026-06-13
BJ's Wholesale Club,Parth Chelani,Mass Merchandisers,Closing,Closing of Sam’s Club gas station in California impacts customers with monthly fee adjustment - Mix Vale,https://news.google.com/rss/articles/CBMizwFBVV95cUxQOVF3YjlGaVVaTkJJTElkdFVaNUVxWGdBRDk3dW9tbEZWWWU2M0FiMFJiTmJpTThQZFVjc2V3MC1VcU5DTUpMMzRSMFRid0tMSC1COWNCcjB5YXZ1Y0cxOHFZeEx3SE8zR1YtNjU1SVJXd0VfTU5ZS0tCNmJBMW1tb0lfTkpULUNKTzVoYUVsclpad0JNbXRpV2tDbU9yakRHYnE3UlRzLTJCbFI3VTZRem4tNmh4WDRab0pnQkdSNVNHMmlsd294TjNsbV9UZFHSAdQBQVVfeXFMTVZEakdta19wb2tBLWpPcVZ1VDBXQWItNUpRMkluVmlwOENGTGk4b1lDNmtDWnNqMUpBc1NkTGNIWmdPd2dFbWdDLTdZNkI3d0FSRUVCaVdmNXBDLW5oVjJ6WTd1VDdYNlVGVTZBQ0J5UExOUTJlV21ZT0NWYmVLdEtrc1p6SDh0UnZYTWNtdlNEUlR5alNyOFFFR2Q2akFDcjhlaEVxa3JyOWpmMi1saW5QY2czNGt0UDZxSVlpWHoxdFFTVzdzVHlIZGJSNmhUbW1KUks?oc=5,2026-06-12 12:23:05+00:00,Closing of Sam’s Club gas station in California impacts customers with monthly fee adjustment Mix Vale,2026-06-13
Casey's General Stores,Rahul Vasaya,Convenience Stores / Distributors,Opening,Murphy USA Stock Up 36% in 3 Months: Will the Rally Continue? - TradingView,https://news.google.com/rss/articles/CBMitAFBVV95cUxNaDgwSm4yMUFFWjBOTUZiOTdsdGtjZFdDckd3QXdWNjBKNEJhWHFzREM4NVhQOTZvcHpqRWVyUG1memtyTWdyX21tZDhKTEhMaTVyR3drQUJXTS1VSk5LbS01czEzUF83aEJ1ZkozMmhXM1lRNnNWdTNrNk5NSnNVRmtUZlNaRnNuemFUUUw0U0NENWJmdVJ1SklqeGtNaXpJTVZyVHExQ2Jab0l1dEVsWXVRTzI?oc=5,2026-06-12 12:11:00+00:00,Murphy USA Stock Up 36% in 3 Months: Will the Rally Continue? TradingView,2026-06-13
Whole Foods Market,Rahul Shinde,Grocery,Opening,Whole Foods Market opens new grocery store in St James - Retail Sector,https://news.google.com/rss/articles/CBMimAFBVV95cUxNY3RjT3dxRVJUVG1pVEt6LUhwUVVCQmpDRVJMN1dqc1VxV2pXZGpwM015bGJ4cHllOUhHSW1YUmpVRlVpUno0YXNtNG9DTVpUbDhaclROR2pIYXVHQ3ZkYXFBLUE3N2ZLNE1jSWhSM0EyWXJfS2tWTjJmVTJLZ3ZZVTcyYWRBOEM1VWxocnpaWTM2NHNVbHVubg?oc=5,2026-06-12 12:02:27+00:00,Whole Foods Market opens new grocery store in St James Retail Sector,2026-06-13
FIELDS,Harsimranjeet Singh Ghelani,Department Stores,Opening,A Massive Energy Break Coming Soon - zeihan.com,https://news.google.com/rss/articles/CBMiZEFVX3lxTFBaX0pfa2NhNFlEQzkyZmNZVUFmOENUemVoaTdicXMweTItT1FUR2ZXMFhhTmttM1NCUkIxM05vamFCZXAxMHU4UjV6TUJBVXdabGFENk8tWEZFeDdQeldzMFVEakU?oc=5,2026-06-12 12:00:00+00:00,A Massive Energy Break Coming Soon zeihan.com,2026-06-14
Sam's Club,Dhiraj Manghani,Mass Merchandisers,Closing,Sam’s Club Gas Station Shutting Temporarily For Repairs in Santa Clarita - TechStock²,https://news.google.com/rss/articles/CBMilwFBVV95cUxNN2NHdjlaeENtejdRZC1vMVVzanVKWm9TYW1PY1hLcnk3TmZycEotRl9xSmJPM3laYzFLNVJEbkRFMXZReDEzeTJzTGtSVTFTSVNJd09iZ0g5Wi1VcUVuX3l1aDBGUXJ5STI3eFpVaUpwaFlTM2RwWUpxd0NhM3Y3WWJPQXdBWVZfekk3ejdSRzdnbGtVTU5J?oc=5,2026-06-12 09:16:45+00:00,Sam’s Club Gas Station Shutting Temporarily For Repairs in Santa Clarita TechStock²,2026-06-13
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,"Chick-fil-A plans to open Zanesville site later in 2026, company says - Zanesville Times Recorder",https://news.google.com/rss/articles/CBMi4wFBVV95cUxNU2d6ZmhSa1dYQ0U0Z05WSDR6YVVudlF0WVZCbzh2UTl6eHR6amlTMm9lRXFVOGNjMk0zVmVBTWhxLUxTMjVYalp5SHI4aGNmcmllZHpfSG5hbmpvcm91UkVHOEFPUEdJMHRiRHA1emZpQmh5c08xVnZ5V2RhdmNyLWtHNUQ4c2pXVDBKaGdjYmdnaGtZUVU0UW5CTGozbENUcF8xX0NQVWU1OThyWWJCRURQM25CV1dIRzhlT25QQ2s5eUl5QnZheC1fVDhZaTNwRUZQOXRmSUFSbXZsQlFnLXV4NA?oc=5,2026-06-12 09:01:00+00:00,"Chick-fil-A plans to open Zanesville site later in 2026, company says Zanesville Times Recorder",2026-06-12
Sam's Club,Dhiraj Manghani,Mass Merchandisers,Closing,Santa Clarita Sam's Club fuel center shutting down for pump upgrades through September - eciks.org,https://news.google.com/rss/articles/CBMifEFVX3lxTE1KMVE3bldkaGhEUGdlc3AzTGJONWRJZlhNcS1wZ3oxS3VuV19UOWhGNUp5emY2RlJpay1RNTNFUVd3OVlXck1GaVRKQTlkXzNZemcxenlkTzZDazZJVjRKb3hKVjFROHhKVk1HQy1ubmhhSTRtcndsbjhjRWc?oc=5,2026-06-12 08:56:15+00:00,Santa Clarita Sam's Club fuel center shutting down for pump upgrades through September eciks.org,2026-06-13
City Market,Ayushi Chandel,Grocery,Opening,Gloucester's new indoor market expected to open in spring of 2027 - BBC,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9zeDRaYmZjYjctZHpkeW1hcnRpZmFqVjYteENoQmJ1VDczY0dubVN3bE0zQ29STUZZLWJaYUUxOWZTRkdObzZhTVJBLWUyUC01R1FKZlpjOHY0THp5?oc=5,2026-06-12 05:23:54+00:00,Gloucester's new indoor market expected to open in spring of 2027 BBC,2026-06-12
Dollar Tree,Parth Chelani,Mass Merchandisers,Opening,"Dollar Tree to open new location in Pismo Beach, now hiring - Yahoo",https://news.google.com/rss/articles/CBMihwFBVV95cUxNZ1ZucWtoSjQtX0t0ejF6UFNVaXlxbFhoNXVPZVNHT2IxdkRvbmV6RzJnZWVadFlidXNNRllzYkxCYUcyU18wLUZLdTVmUkVEQ0FJSEQ5UDlWUGplWHJVdVJnM2NtcE5TS1BhTHNWX3k1OGlUam5RMVBlRlFEX3VyeFMwV3pHSTA?oc=5,2026-06-12 02:32:00+00:00,"Dollar Tree to open new location in Pismo Beach, now hiring Yahoo",2026-06-12
Food City,Kashish Kasar,Grocery,Closing,"World's second-richest country records 1,267 restaurant closures in first four months - VnExpress International",https://news.google.com/rss/articles/CBMi4AFBVV95cUxNbmZiZmpmWDNISEZHMlV2U3h4UWJQNDZoWVRZQ0NEVEliVm13WjVLd0tjRlJHeGw1UnM3Z3RPcjEwNmlaWk1JTWlLUTFOWDlydExla0VVZTl5WU80LTlZLWJWQU1LYmtfNUVGc2tRQWJKRlk1VjJCUy1UUFVDM0J3UDJJNEVnckRFUl8wMXJ6bXpNQk9QNkV6bDFnRFE4OHg2aGxTT0pCZ0EtcUY2bllTTXA5dEttRGJiNDVSRlRJUEs0Tnl2VkxtSkd6Vjc0U3BPTVkweVRlZGZUTnVoU1FKcw?oc=5,2026-06-12 02:21:12+00:00,"World's second-richest country records 1,267 restaurant closures in first four months VnExpress International",2026-06-12
Dollar Tree,Parth Chelani,Mass Merchandisers,Opening,Dollar Tree store opening in Pismo Beach - KSBY News,https://news.google.com/rss/articles/CBMifkFVX3lxTE9JX3lYOVgxNnZ0dk80aW16eEtWc0t2ZnA3Y0xCemNuOXpsMFJHRHE0RGxWMVdIUlpxdC1sa3BXbnR2RFFPSkxRNHpNZWZQSjZQNXlRUjFHb0lMdW9sQVJkel83TVhMRjlIWTFHSlIzQ0hsdkNyMWJ1OHVyZkxMZw?oc=5,2026-06-12 02:11:26+00:00,Dollar Tree store opening in Pismo Beach KSBY News,2026-06-12
FIELDS,Harsimranjeet Singh Ghelani,Department Stores,Opening,Kaukauna breaks ground for new middle school Monday - MSN,https://news.google.com/rss/articles/CBMitAJBVV95cUxNUUV2OUIwN3UzNFZzVUVKanZwYmlGdEpscUF2OEhYQXNNZXR0UTZvcUhXSHJSNE9kOTlJQjFkWTdMZTBPSXFjNXJvSnlfX2JROFptMHlsbFFzekxfaVc1YzNMQkYtS2FlZ09OMGJrNjBaR2R5MTFfQ2JkcW5va0NDTTZ6S1A1X2U4ekZqYXJPbzAzd1F0MHBLTERILVc3QWZsT0FnYVpkVjUxS3Bhb1ljaXZCNC1nQ2FqRnlZOTVyUTBNMzNWRzRLLXVQWkgxaUk5VVlRcXM0TFVuT3VORDJqUGR1RFlWUU0wR0tOemhlb2JHZ1ZDczJwcXlScnRRdWhPLWFwWHB2ZXM4YWFINnJ4MGJVVTd5YVQwUFl0aVM3eEVjeUVXQ2lhdy1WRGNTQkhQZVVfZw?oc=5,2026-06-12 01:35:29+00:00,Kaukauna breaks ground for new middle school Monday MSN,2026-06-13
Papa John's,Vishwas Shah,Restaurants,Closing,Pizza Hut rival follows chain in closing over 200 restaurants - thestreet.com,https://news.google.com/rss/articles/CBMinAFBVV95cUxPc043OUxDdnlXOXNfZ0I1U25CS0RDQ1NzVUFhNy1mbFl3ZnpfR1lpZFJsc1UwLXFPQ1JTWHA4MjN4UDhmc20tc09tTnVYaDA4R05YNXJhRWoxVGhoVWNYTlAwblVwUG8zU3VaeWVRSHdSZVZGNHZ3VEVQLVRsUUJHcE85SnJuNTBpdGJnYm9ma0dMeEtsenlQa1VIdlo?oc=5,2026-06-12 01:18:00+00:00,Pizza Hut rival follows chain in closing over 200 restaurants thestreet.com,2026-06-12
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,Boston is getting a new Chick-fil-A. Here’s where. - Boston.com,https://news.google.com/rss/articles/CBMingFBVV95cUxOS3FQTmtMYU1ubDhzeHRwY1dNWDZNanFSWEs1bDlySTB2R3NZbkJrYmpnaHg5b3RSVmV6R1N2ckl3U2RzU3gwS19wZ2wzU3VldkY1NUl2d044YjFCM0MzMVBoZTUwLXhxM1M2cFNwTVlZQUNNcVBpSjduUGhDbmFmaG04YWpOMnVMdkdmaGZ3MDM0X0JlcGo3OUFuMGVmdw?oc=5,2026-06-11 23:28:00+00:00,Boston is getting a new Chick-fil-A. Here’s where. Boston.com,2026-06-12
Trader Joe's,Rahul Shinde,Grocery,Opening,2 more Trader Joe’s are opening in San Diego County - San Diego Union-Tribune,https://news.google.com/rss/articles/CBMioAFBVV95cUxOQkw4M3EwZnZVWW1rVjFqVFhIRFJnWHJFZFFTX1cwb3FfQzBlelBfMGJJZGNVOVp1NXM3MXVPWkVRTFVMRW9KenBuRDFGalZNcXBYVTJNMVh6VDhJRHVNZ1ZRTS1mWlREQXBMdmxMNE5JN25XTXR2SVdneWt3bmNuc1JSSDhWeW5PVmd2NmY3MWFTMjBoaUhicVptR29nelpI?oc=5,2026-06-11 22:22:05+00:00,2 more Trader Joe’s are opening in San Diego County San Diego Union-Tribune,2026-06-12
Trader Joe's,Rahul Shinde,Grocery,Opening,New Trader Joe’s location in New Orleans to open on June 12 - fox8live.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxNbWxxYU1qUnF2STlSNHB1YngzZkhOSXE5aU1ETW56WTdMN0RVOFR6TFByWEd2ampnZFU5WWl0U0o3TzRxZ0JfVE80bTFBSmVwVndqTzFkeVZ2OGlKRE1TT0dXTTFrSGlfWlQ0Y3c3d2RGWVhiYkU2ekswMGdnb0J3ZjBmcFFIX09BRXVZZm9fONIBowFBVV95cUxOem9zU1BnY3UySVlrMVBDbXJHbmxhbmdPcG5hWHhjWC1yckhJRjdZVTA2RVlsMzgteUtGYUVMeWdWX2hYVW5FNDA4eTB5YVFkOGRxWVJULXlaR0xyY1FRRkxNdGNFODk1NWNnTGFHbzBBRk1JVTBybGhMd0NMYi1ieEduX3VfNjcxUFg1S0lSd1FhYTZLaDZxdENmOGF2eHpNY3Fr?oc=5,2026-06-11 21:02:00+00:00,New Trader Joe’s location in New Orleans to open on June 12 fox8live.com,2026-06-12
Trader Joe's,Rahul Shinde,Grocery,Opening,Boynton Beach center gets new life with soon-to-open Trader Joe's - The Palm Beach Post,https://news.google.com/rss/articles/CBMivgFBVV95cUxQT2hBeEI1UHVxUTB0OVhIald5SWd5TkxUTkRnREV4N0ZrWFJncE9lNGZiQWkzbHFrS1NQZ2JCOGY0bndLMzVneVlWM1lGUEpRS2R5d1F3bEw1RTIwRjVhVFh5aW53UFBNVHduY0c1N3NCWU16UUhTOUNJd3QxX1V0dDNIbVJoLXJJUWVINU50enVVVEo0N2hRMGh6allTUXRRbVlXamQ2QVh1Q1dBS2R1REdLdkJ4bXpiVE1DUWVR?oc=5,2026-06-11 20:53:00+00:00,Boynton Beach center gets new life with soon-to-open Trader Joe's The Palm Beach Post,2026-06-12
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,That Long-Awaited Chick-fil-A is Rising in Johnson City - WNBF News Radio,https://news.google.com/rss/articles/CBMiX0FVX3lxTE93eW83LU1qTk5uekc5M3pEZXRGcjBmTTQwR1hxUXh6YnBMVnlRcDlONHFveFZlT2dyQUk1X05EV2xDQjREdzNhTlZLYS1aMVZIS1hxYWVBbWVLaUJyd3Jr?oc=5,2026-06-11 20:41:10+00:00,That Long-Awaited Chick-fil-A is Rising in Johnson City WNBF News Radio,2026-06-12
O'Reilly Auto Parts,Bhavesh Phulwani,Mass Merchandisers,Closing,Justin Allgaier wishes lapped traffic would've acted differently in closing laps at Dover - MSN,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQdGpxclpucGk1QXI2N0w3V2E0dnZHTlAzN2w5Ty1OMmNhRmNIUWs0bU80c3NMeGVYSlZMQ2UwZk9OUG9ySUM5a3daenROaVRZWEplcVgtckhVZFJHUS1SSDl5aC1iYU9VV2JTNC1sdHYzWmtqTDlXNEJMN3JmeFhqc2VtODF1UGpUZVpJRFlMZ3BuTWprNlFQOG5UMC1IVkZ0N3R6aTJ4MGhvV3BhY2FVVno0eHVHZFhYdmN2RHlCTUR1MzlHVXB6RTc3SkJyWmRLZU9oNnFCNG9aQWRPemc?oc=5,2026-06-11 19:55:14+00:00,Justin Allgaier wishes lapped traffic would've acted differently in closing laps at Dover MSN,2026-06-13
Casey's General Stores,Rahul Vasaya,Convenience Stores / Distributors,Opening,"As Casey's earnings soar, chain announces plan for 120-store expansion - The Des Moines Register",https://news.google.com/rss/articles/CBMisAFBVV95cUxNTTFvOFpSQVFWWG1JLW8yanFzV3RYRm9fNXRMSW5TQUxmZ2l6bksyYUZtZFNZeEhReXhoTkV1MHZJRUtxY0Q2aUtLUG1peV81eDcxclZ1ZUxlc1ZaYmFoaVRNeEVpSkJCRVJzaWg1bmVVOXB3U3oyWXZpbDJqQWRLWERqZVg2UWdJaTF2REpSeEdCMGVuR3M1M0EwUzFxNHBqSXhUMVBHN1V2SWgwdFZLNg?oc=5,2026-06-11 19:53:00+00:00,"As Casey's earnings soar, chain announces plan for 120-store expansion The Des Moines Register",2026-06-12
Trader Joe's,Rahul Shinde,Grocery,Opening,New Trader Joe's coming to metro Phoenix. Here's everything we know - azcentral.com and The Arizona Republic,https://news.google.com/rss/articles/CBMinwFBVV95cUxPeXdFNExKZmMzdFpIcDQyTC1IQklDNkkyYXhYVkNtVFlTcDBQZ1NoeTZmRU1qMjRVcldpSlh5cmNtbXM0LXdvamhEaEJKSmhIeTVfNjdsNXlpOWNXN0duVXVfb191QzNrc2luVFQ1RURNVzZIdW1FYk0yX0NQYVFUUW5DR2FZMDZvOFF6S1RJVi1fM3BqMldaUThhaDdfODQ?oc=5,2026-06-11 19:51:00+00:00,New Trader Joe's coming to metro Phoenix. Here's everything we know azcentral.com and The Arizona Republic,2026-06-12
Trader Joe's,Rahul Shinde,Grocery,Opening,Trader Joe's opens third store in metro New Orleans - Axios,https://news.google.com/rss/articles/CBMinAFBVV95cUxQaHE1cnQxb3hoUzR5NlVQT0dKNER0N2NoNlRiYTc5V2EzdmhLVDBxbk13VW5yb09QeG4yRGl3U2pRVTM5dW5yWk5rcUJJdkppX2lEMTRMNTFmdThZc0duNVdVbE9JSGh0MGRnV2hOZXVCTlZZcTBLb21Eai0wZEItWFBrSE1KUEFUUEI4RnUwLWpWOVg5bFctc0VnYnM?oc=5,2026-06-11 19:31:48+00:00,Trader Joe's opens third store in metro New Orleans Axios,2026-06-12
Burlington Stores,Parth Chelani,Mass Merchandisers,Opening,Burlington opens new store to serve northeast Katy quadrant - Katy Times,https://news.google.com/rss/articles/CBMiWEFVX3lxTFBmYXZVeXhMWjRLdkptM3dVeXdDeVNTaXVZcTNnc3dockRoaXB0Z01kc1BsZk1hRUxsVDYwMmVXMUtRem9Cb2hpdzRiaklvcUZjQ3B5MU5Tdlg?oc=5,2026-06-11 19:30:00+00:00,Burlington opens new store to serve northeast Katy quadrant Katy Times,2026-06-12
Dollar General,Shuvechha Dere,Mass Merchandisers,Opening,Dollar General now open in Bloomfield - The Tri-City Record,https://news.google.com/rss/articles/CBMihgFBVV95cUxQMEhNY3BSLXZXdkR1OUc2blhycHhrdmgzczVJOUN5eTZsMFBZdV93UlhIRURSQWdrZDJkTGM5SnQ4WkRNWkhFbVNnSi1VT2VvaEJCLVdScG9kWWtWeVQtMm5SdWFnRnI4Uy1EYWJVM0Y3ZkxCdTVQYmVoMllIVGZxQzBhTm91dw?oc=5,2026-06-11 19:17:49+00:00,Dollar General now open in Bloomfield The Tri-City Record,2026-06-12
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,Chick-fil-A Officially Sets Opening Date For Melissa Location - Local Profile,https://news.google.com/rss/articles/CBMirwFBVV95cUxQVlZtV3ZCYXRCSzYza0JtMXhHdnpydDFIRkpBNldodW94ckRVZXpPSFV0UC0wQjFxajY3cldTWEU2eFZ4WVM3Wmd4UXhqc3RvSjFvMktKX0N5S0xRWjZxYVYzUEhuNDdiR2RLN3c0VTRzVDY0Tmp6N1VMMjJfTFdEczJsekl2ajAxa2o2eGpWZ1hjVWxsbldlYnlrdlUzUG51d2NvSnYxUnJDSnBxbTFn0gG0AUFVX3lxTE53NEtJSGk3WU40dnM3ZmRjS0xOT1QzZ3NiNFUyWThVSVk1WGNqSWhzbl9OTER1U1NPQXRYLTJrdzZZM2MtbXktTVF3enBvZTh5T0pwSV80SDBvaWszRkJEOWxVRDdJZjJNT29sbVVzTUgzSmw5cV9jTjdqbTBLVDg2OUU2c0c3MVZteFpwTlBSMERXYlQ0cWFKQWFubTgzX0wtb1BDTXU3V1ZhVzhNeVpVTV81Tw?oc=5,2026-06-11 19:15:00+00:00,Chick-fil-A Officially Sets Opening Date For Melissa Location Local Profile,2026-06-12
Rite Aid,Shuvechha Dere,Drug Retailers,Opening,Dollar Tree snaps up another former Rite Aid location with opening day in weeks joining 10 stores in same county - the-sun.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxNSWN0U2cwR3hELTlleWk1dlZSTWJ6VUhJX1hqNnVacm5RRnNEODhhUjhVcllTQWdQQVFuaXNnNFBpY3NFTVdLcGZqLWswVWJmUF9ubWxqNU4wUHBrZlk3Rk1qWkpudFV2U3JMTm0ySjVOaXBfVEE1VU5TbzByV1daNl94dzloY2NsWWdLYXNvWGw?oc=5,2026-06-11 19:03:24+00:00,Dollar Tree snaps up another former Rite Aid location with opening day in weeks joining 10 stores in same county the-sun.com,2026-06-12
Papa John's,Vishwas Shah,Restaurants,Closing,Papa Johns shutters nearly 50 locations across 17 states as competition intensifies - New York Post,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQdlFvQTlrVDRWMUd3cGw2RXd2elpCYnR0ZVlyVVlXZlF1elZ4bjFKbE02dUNUcHFCdXV4WEUwT0NOZi0xOXZnTUlHYVJjdmdKTDI1OC1uRmQtWDhDRXBFUklrRWRFYURob0hJZjZDOUZrWUVGUUs5LW1INnBrcnZuRUtiMnJaRnZqQ21iYzljcHVYSHNleWlibGxtanFXTjN1SFhTemh1bmNZZW5vNmx0ZnlibDdXNFRmdTZlTXRQaFA?oc=5,2026-06-11 18:40:00+00:00,Papa Johns shutters nearly 50 locations across 17 states as competition intensifies New York Post,2026-06-12
El Pollo Loco,Ankit Rawat,Restaurants,Opening,"‘Hell yeah’: Idaho waited decades for this restaurant. It’s about to open, Meridian - Idaho Statesman",https://news.google.com/rss/articles/CBMihAFBVV95cUxOekkzRXdYXzdEVDJEZENYc0FpakNnc1RNZnAxRW9ZaDdrbE1BRG9acWs4MHNjMmItNWpRU2dzaHVYaTR1U3gtZ1poU2w3a2ZSNGpKUWhfQUkwdTdwR0FDY2V5YUdLNDVWQjFGS01jLVFpRTB0dGR0OWRYOXRfRjM2UW1VdkfSAYQBQVVfeXFMTkdJTFVXVllWRDVWWUFxRDFEbWhBNmlUaUxnZ21ZMEtQT0FRdjlHVTUzcE12bVJkOGdPVHhMZVVpV0t4NEpWdlVRZDNsdHR6MVVwblNGR2thZ1N2WE1tT3FYc21ncU9qWnRkVGpwRlhWTEtRam1aMDFrUURCeFVCV0t5eXVE?oc=5,2026-06-11 18:11:00+00:00,"‘Hell yeah’: Idaho waited decades for this restaurant. It’s about to open, Meridian Idaho Statesman",2026-06-12
